TITLE;Authorized Territories ;Ready To Be Delivered;STUDIO NAME;UPC/EAN code;;"FORMAT RELEASED FIRST 
(DVD or Bluray)";;Cat#;;"GENRE/CATEGORY
 
 genre (it can be up to 5)";TITLE;PRINCIPAL ACTORS (Last, First) (Please use commas & slashes when listing names, like this:   Suarez, David/Wells, Blain);DIRECTOR (Last, First) (Please use commas & slashes when listing names, like this: Suarez, David/Wells, Blain);;Space Request [note];;Box Lot;# of Discs;SRP;;;;;Estimated PRODUCTION YEAR;STREET DATE;ISBN;;;;;PACKAGING;REGION CODE;NTSC or PAL;Mono, Stereo, or Surround;B&W, Color, or Both? ( the movies is it in color or black and white? );Full Screen or Widescreen;Aspect Ratio (16:9 or 4:3 or other? );Rating;Language;Closed-Captioned? (Closed-Captioned? yes or no ?);Subtitled? (Subtitled yes? or no?);RUN TIME;;5% Preorder Discount?;IO Approval?;;;;;;"Similar Titles 
(3 minimum)";"TRAILER 
( it has to be youtube)";Selling Points (3 minimum) / Strength;"Marketing Points (3 minimum) /
Marketing Endeveor ";SYNOPSIS;"FORMAT
4K, HD or SD";Estimated BUDGET;PRODUCER;WRITER;EDITOR;"CINEMATOGRAPHER
DIRECTOR OF PHOTOGRAPHY";MUSIC COMPOSER;PRODUCTION COMPANY;"MPAA 
( Estimamted ) 
G
PG
PG13
R
NC17"
"CRC ( CANADIAN RALLY CHAMPIONSHIP
(Tv Series) )";USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 732874;;DVD;;501,46;;Sport;"CRC ( CANADIAN RALLY
CHAMPIONSHIP
(Tv Series) )";; Taves,Wade ;;Full;;30;1;19,98;;;;;2014;11/25/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no; 7 Episodes x 30 Minutes ;;Yes;NN;;;;;;Top Gear, F'ing Fast, Wheeler Dealers;http://www.privatecinema.info/#!canadian-rally-championship/c1n12;;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";Over the past few years, the CARS board has received several inquiries about re-starts in rallies after a DNF with several individuals who were going to write the rules to show how it could be done.  In the fall of 2013, the CARS board, through the Administrative Rules Committee (ARC), asked for a possible set of rules for ‘re-start’ in the CRC and in Canadian Rallies in general to be created.;HD;3 M;Kate Green, Andrew Comrie-Picard (Executive Producer), Gregg Katano (Co-Executive Producer), Christian Meola;Wade Taves ;Ciamac Parhizi (Senior Editor), Christian Meola, Quint Jenkins;N/A;;Musketeer Media Ltd.;PG

ANY MINUTE NOW;USA AND CANADA;NEW;FENIX PICTURES;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW;NEW

CAVEAT;USA AND CANADA;YES;FENIX PICTURES;0 609408 705700;;DVD;;500,97;;Horror;CAVEAT;"Goranson,Lindsay/O’Neil,Heatherl
 Marie,Kacie/
 Nicholson,Taylor";Ufema,Julie;;Full;;30;1;19,99;;;;;2013;WAITING ON MATERIALS;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x15;NA;English;Yes;No;90 minutes;;YES;NN;;;;;;Raze, Volver, The Royal Tenenbaums, The Lion in Winter;http://www.privatecinema.info/#!caveat/cmrq;"-Centered around a family conflict
-Cast is mainly female
-a Thriller type film over a dispute for inheritance";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";After hearing of their fathers mysterious death, the five privileged Mosier sisters are forced to return home to claim their share of the family inheritance. With an ironclad will, Charles Mosier, the Patriarch of the family, grants his heirs the fortune necessary to protect their financial future. But after losing her identity as her fathers keeper, oldest daughter Kathryn seizes the opportunity to unleash decades of pent up hostility and resentment. But Kathryn isn't the only one with something to prove. Each member of the family has a price to pay, and as the weekend unfolds, they find it can't be paid in cash.;HD;1 M;Jason Ufema | Julie Ufema;Julie Ufema;Amanda Burns | M. Calabro | Abbey Farkas | Coalin Smith;Mitch Cleaver;Jason Ufema, Lance W. Ufema;Group 13 Productions;R

Art in 8221;USA AND CANADA;coming soon;YTINIFNI PICTURES;0 609408 422652;;DVD;;500,84;;Documentary;Art in 8221;Depp,johnny;Molla,Jordi;;Full;;30;1;19,99;;;;;2014;WAITING ON MATERIALS;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16x9;NA;English;No;No;95min;;YES;NN;;;;;;Black White and Gray, Picasso & Braque Go To The Movies, The Universe of Keith Haring;http://www.privatecinema.info/#!art-in-8221/c244b;"Starting Damingo Zapata, Nino Del Prete, Jordi Molla and Jonny Depp!
If you're looking for an artsy documentary, with a crazy edge to it, this is it; from Sunset Boulevard.";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";Documentary about Domingo Zapata and his life experience in Los Angeles. Starring Damingo Zapata, Nino Del Prete, Jordi Molla and Jonny Depp.;HD;2 M;Julia Ibarra Albizu;Julia Ibarra Albizu;Julia Ibarra Albizu;Julia Ibarra Albizu;Julia Ibarra Albizu;ARTIN8221.LLC;PG

ALTERING GRAVITY;USA AND CANADA;YES;FENIX PICTURES;0 609408 732850;;DVD;;500,92;;Triller, Action, Drama;ALTERING GRAVITY;Bruckner, Beth/ Casey, Hugh/ Corey, Ben/ Essner, Lee/ Heier Paul;Brady, Spencer;;Full;;30;1;19,98;;;;;2013;WAITING ON MATERIALS ;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16:09;NA;English;No;No;90 min;;Yes;NN;;;;;;Mad Money, Blood Money;http://www.privatecinema.info/#!altering-gravity/c1eig;-Mental illness/post traumatic stress;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";ALTERING GRAVITY encompasses the pursuit of happiness, love, and money. This bittersweet tale is an opera of luck, wickedly funny, and provocative. From the deserts of the gulf war to the streets of Los Angeles, unexpected twists and turns will strike a chord in everyone. Whether you're up or down, money causes people to do some outlandish things. This wild ride will make everyone wonder what they would do in the shoes of these ordinary people. So at that winning moment, what would you do if you just won the lottery?;HD;1 M;Belissimo, Sal;Spencer, Brandy;Hoogeveen, Andre;Kevin McLaughlin;Vader, Pandemic, John C, Jackson;Broadsky Pictures;PG13

MASTER RACE FROM MARS;USA AND CANADA;YES;FENIX PICTURES;0 609408 732997;;DVD;;501,23;;Sci-Fi / Family;MASTER RACE FROM MARS;Hodoruk,Nina /Krantz, Kathy / Pauls,Michelle ;Stewart,Colin ;;Full;;30;1;19,98;;;;;2011;WAITING ON MATERIALS ;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;93 min;;Yes;NN;;;;;;Dark City, Dredd, The Fifth Element,Galaxy Quest, Space Balls;http://www.privatecinema.info/#!master-race-from-mars/c1qqu;"-a humor sci fi film
-feminism and gender issues play a strong role in the film
-take's place in 19th century Philadelphia";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"What happens when a handful of survivors of a decimated Nomad Race from Mars escapes to 1888 Philadelphia? When Floda, Queen of Mars, and her cohorts arrive on the docks of Philadelphia, they save Klara from two thugs trying to rape her. The Martian women spend days supporting the women’s suffrage movement and nights looking for a few good men so they can repopulate their race. 

At the end, Klara returns to Austria with a new born child. And the rest is history.";HD;2 M;Kathy Krantz;Colin Stewart;Kathy Krantz;Graham Futerfas | R.W. Gretzinger;Michael Perilstein;StewArt Productions;PG

What if;USA AND CANADA;YES;FENIX PICTURES;0 609408 705953;;DVD;;501,43;;Romance , Thriller ;What if;Cruz, Billynaire   /  Solomon,Erin   / Tanabe, Steve ;Mahesh, Hari ;;Full;;30;1;19,98;;;;;2014;WAITING ON MATERIALS ;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;90 minutes;;YES;NN;;;;;;The Machinist, A Beautiful Mind, It's a Wonderful Life, Broken, The Pursuit of Happyness;http://www.privatecinema.info/#!what-if-/c1lht;"-the film is about a psychologist who can't help himself
-his life is a chaotic mess at every level
-attempts to commit suicide within the film because of how bad things get for him";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";This story is a dual narrative physiological thriller. The first narrative is about Ed Baxter, a psychiatrist who helps all his patients, but is a mess himself. Ed is paranoid about his colleagues, his patients, and his family especially his sister. He hides everything from his wife, Sally, but she finds about all his erratic behavior and helps him but in the end he alienates her too.He suffers from classic case of Paranoid Personality Disorder. He loses his job, is in financial distress and loses his wife. He constantly hallucinates, becomes suicidal and goes on a rampage to kill his wife, his sister and finally kills himself by jumping off a bridge. At this point the narrative shifts to exploring “What-If” Ed got the necessary help and we discover the dark secrets from his childhood that caused him to develop Paranoid Personality Disorder.;HD and 4K;1 M;Hari Mahesh | Amit Shetty | Mohit Shetty;Hari Mahesh;Ballu Saluja;Jim Cummings;Mano Murthy;Smera Productions;PG13

"PASSED THE DOOR OF
 DARKNESS";USA AND CANADA;YES;FENIX PICTURES;nn;;nn;;nn;;Thriller;"PASSED THE DOOR OF
 DARKNESS";Colson,Mark / Avery Hansen,Kathryn ;Peter Mervis;;nn;;nn;nn;nn;;;;;2008;WAITING ON MATERIALS;nn;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x9;NA;English;No;No;100 min;;nn;nn;;;;;;The Bone Collector, Se7en, Red Dragon, Nightmare on Elm Street, Angel Heart, Amytiville Horror;http://www.privatecinema.info/#!passed-the-door-of-darkness/c1g4e;"- supernatural detective film
-intially seem's like a gruesome but ordinary murder
- manipulative villain";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";Two young children dead, floating face down in their family's bathtub. Their mother, shot in the back of the head, lies next to the tub in a pool of her own blood. On the floor slumped against a blood covered wall is her husband, dead of a self-inflicted gunshot wound to the head. For rookie Homicide Detective Chris Malloy this grisly scene is more than he expected to see in his first week of working the graveyard shift. For his partner, grizzled yet poetic Detective Murphy MacCasey, this is but one tragedy among countless in his fifteen years in homicide. They haven't seen anything yet.;HD;1 M;Kevin Carraway;Mark Colson;Peter Mervis;Mark Atkins;Mel Lewis;Night Light Films;PG13

FEAR CHAMBER;USA AND CANADA;YES;FENIX PICTURES;nn;;nn;;nn;;Horror;FEAR CHAMBER, the;Tyson,Richard  / Giles, Rhett /  Williams,Steven; Sara, Lawrence;;nn;;nn;nn;nn;;;;;2009;WAITING ON MATERIALS;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x9;NA;English;No;No;80 min;;nn;NN;;;;;;Hostel, Se7en, The Silence of the Lambs;http://www.privatecinema.info/#!fear-chamber/cowd;"-featuring, Natalie Burn and Richard Tyson
- a crime/drama with a supernatural backdrop
- Promises a dark, and gratiuitously bloody story";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";A mad man named Teddy is on the loose and killing young beautiful girls. He is cutting up the bodies and disposing of them in ways so the police can not identify them. Detective Ferguson has been tracking him down, and he finally has the chance to take out this deadly killer. How will he stop this psycho from killing, will he become a victim himself?;HD;1 M;John Duerler;Kevin Carraway;Dustin Voigt;Henryk Cymerman;Mel Lewis;Night Light Films;R

BATTLE PLANET;USA AND CANADA;YES;FENIX PICTURES;nn;;nn;;nn;;Sci-fi ;BATTLE PLANET;Ward,Zach /  May,Monica / Smith,Colleen;Aronowitz, Greg ;;nn;;nn;nn;nn;;;;;2008;WAITING ON MATERIALS;NN;;;;;Amaray;nn;NTSC;Surround;Color;Widescreen;16x9;NA;English;No;No;85 min;;Yes;NN;;;;;;Ender's Game, Avatar, Akira;http://www.privatecinema.info/#!battle-planet/cwv;"-starring Brea Grant and Zack Ward
-sci-fi military type film
-a battle of survival were the protaganist has been lied to for the purposes of weapon experimentation";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";In the not-so-distant future, Captain Jordan Strider, a Special Forces Officer in the New World Alliance, is chosen for a top-secret mission. Sent to a desolate planet, Terra 219, to arrest possible traitors to the Alliance, Strider must survive with only a government issued experimental suit as protection. However, not everything is as it seems, as the suit’s AI takes over and Strider learns of an elaborate double-cross that could impact the entire human race.;HD;1 M;John Duerler, ;Greg Aronowitz;Stanislas Pascal Franchot IV;Dallas Sterling;Mel Lewis;Night Light Films;PG13

MARKED;USA AND CANADA;YES;FENIX PICTURES;NN;;DVD;;501,22;;Thriller;MARKED;Carroll,Tara /  Child, Samuel / Colson, Mark ;Voigt,Dustin ;;Full;;30;1;19,98;;;;;2007;ZZmaterials;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;96 min;;YES;NN;;;;;;1408, The Conjuring, Halloween 3, Oculous, Insidious, Poltergeist;http://www.privatecinema.info/#!marked/c6zl;"-horror film about a haunted woman and her past
-features paranormal investigators and a conspiratorial cult
-villain is an evil ghost attempting to come back from the dead";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";A group of Ghost Hunters discover a powerful force that puts one of their members in great danger.;HD;1 M;Kevin Carraway;Dustin Voigt;Dustin Voigt;Adam Biddle;Mel Lewis;Night Light Films;R

SUICIDE PARTY: SAVE DAVE;USA AND CANADA;YES;FENIX PICTURES;;;DVD;;;;Dark Comedy;Suicide Party # SaveDave;"Medvidick, Stephen
Lungren, Rick
Shields, Anna";"Zinzopoulos, Alex
Skyyler, Jack";;Full;;30;1;19,99;;;;;2015;;;;;;;;1;NTSC;Mono, Stereo, or Surround;Color;Widescreen;17x9;Intended for R;English;No;No;1 hr. 41 min.;;;;;;;;;"Little Miss Sunshine, 
Thank Your for Smoking
Everything Must Go";http://www.privatecinema.info/#!sucide-party--save-dave/cj80;"Opening Night Premiere Engagement at North Hollywood Cinefest
Hilarious Dark Comedy on Very Timely Topics
Sure to be Controverial andTalked About Since a Comic Take on Serious Subjects";"Entered in Over 30 Film Festivals (number of acceptances and wins TBA)
Social Media Campaigns on Facebook, Twitter, LinkedIn to Build Buzz
Crowdfunding Campaigns to Get Additional Fundings for Film Festivals
Plans for ""Suicide Parties"" in Multiple Cities
Plan Mailings to 10,000 Business and Film Contacts through Meetup and Film and Business Networking Groups
Plan Mailings to 10,000+ Media Contacts When Film is Released through Changemakers Productions PR Service ";"When All Else Is Lost, Will a Suicide Party Help?
A Dark Comedy on a Serious, Timely Topic

Dave was middle management at a large investment firm in Las Vegas. He had a beautiful wife, a nice house, and a good life. When his company downsized him, he lost everything: his money, his home, his car...  Even his wife left him. 

Dave was about to commit suicide when his friend, Steve, a sometimes entrepreneur, has an idea: why not use crowdfunding to raise the money to save his house and get back on his feet.  Raise $100,000 and he’ll live. Otherwise, he'll kill himself at the final event -- the Suicide Party. 

The idea becomes even more wacky, but gains traction, when Steve introduces Dave to Gidget, a girl with a webcam and sexy online presence, to be their social media guru. 

Soon Dave's #SaveDave campaign goes viral with videos like Dave being maced while the repo guy takes his car, and Dave, Steve, and Gidget soon become local celebrities. 
Soon Dave is on The Late Show with Keith O'Brien where he's torn up like any other white trash celebrity.  But Dave's popularity only grows. 

However, the big problem is that as the deadline for the party approaches, Dave sees his following growing but not his bank account.  Yet Dave has suddenly found a new reason to live due to the excitement of his campaign and the support of his friends: Steve and Gidget. Unfortunately, almost everyone else is planning to go to the party not to support him, but because they're curious to see if he'll actually kill himself.

As the Suicide Party approaches, Dave becomes more and more panicky, as he feels the deadline to end the crowdfunding campaign approaching with only a small amount of the goal reached.  

So what will Dave do?  Will the party go forward?  Can he get the additional money he needs at the last minute?  Will he actually kill himself?  Or something else?

SUICIDE PARTY # SAVE DAVE tells the story of what happened.";HD;200K;Gini Graham Scott, Alex Zinzopoulos, & Jack Skyyler;Gini Graham Scott, Alex Zinzopoulos, Jack Skyyler, & Brandon Gibson;Alex Zinzopoulos & Jack Skyyler;Alex Zinzopoulos;James H. Spring;Changemakers Productions & Dear Skyyler Productions;
